"uuid","name","cb_url","legal_name","domain","homepage_url","country_code","state_code","region","city","address","postal_code","short_description","phone"
"040b8bfa-3262-8af7-47dd-50b1ef77b97e","SGM Law Group, Law Offices of Shilpa Malik","https://www.crunchbase.com/organization/sgm-law-group",,"immi-usa.com","http://www.immi-usa.com/","USA","FL","Florida","Fort Lauderdale","800 Corporate Drive Suite 206",33334,"SGM Law Group is a well-known immigration firm in Fort Lauderdale, FL delivering the most up-to-date immigration services","(877) 811-3541"
"094dbc9c-ca77-ec1c-4a92-be1092ef1052","RushRate","https://www.crunchbase.com/organization/rushrate",,,,,,,,,,"Ranking potential members of a fraternity.",
"0b96d395-e9db-8f16-4125-05c232589754","Unijobs","https://www.crunchbase.com/organization/unijobs",,"unijobs.holon.net","http://unijobs.holon.net","AUS",,"Victoria","Brighton","12 & 75 Bay Street Brighton",3186,"Global academic jobs website","+64 3 445 9900"
"0bda9212-cddb-4b0a-109e-937a9b2c128f","ABCOMRENTS","https://www.crunchbase.com/organization/abcomrents",,,,"USA","IL","Illinois","Chicago",,,,
"0c4258e8-1c8c-3cc5-6b01-4447eb1a8b5f","Genwealth Venture Partners","https://www.crunchbase.com/organization/genwealth-venture-partners",,"genwealthlp.com","http://www.genwealthlp.com","CAN","ON","Ontario","Toronto","51 Wolseley Street Ontario","M5T 1A4","Genwealth Venture Partners is an entrepreneur-centric investment fund that finances early stage technology companies.",
"0cbe819b-a9c0-d059-b5c3-7e7a859c4ec7","Trainline Europe","https://www.crunchbase.com/organization/capitaine-train",,"trainline.eu","https://www.trainline.eu/","FRA",,"Ile-de-France","Paris","20 rue Saint-Georges",75009,"Trainline (formerly Captain Train) sells train tickets.",
"0e00195a-d6d4-1cbd-cc4a-5882d5695d94","University of Salford","https://www.crunchbase.com/organization/university-of-salford",,"salford.ac.uk","http://www.salford.ac.uk","GBR",,"Oxfordshire","Salford","The Crescent","M5 4WT","University of Salford is an institute of higher learning that offers both graduate and undergraduate programs.",
"0fbfb7ac-4015-1561-6d42-ec9c4a87a324","Paladina Health","https://www.crunchbase.com/organization/paladina-health",,"paladinahealth.com","http://www.paladinahealth.com","USA","CO","Colorado","Denver","1551 Wewatta Street",80202,"Paladina Health is an innovative employer-sponsored healthcare provider.","303-405-2100"
"1266b85b-8528-fc8f-0345-3a8cfc9a3cf5","Alimentation Couche-Tard, Inc.","https://www.crunchbase.com/organization/alimentation-couche-tard-inc",,,,"CAN","QC","Quebec","Laval",,,,
"12da71c7-75f6-f7b4-c2d6-d64776da1cd3","CVC Capital Partners","https://www.crunchbase.com/organization/cvc-capital-partners",,,,"GBR",,"England","London",,,,
